epoch,fill_requirement,loss,lr,val_best_iou,val_loss
0,True,0.27127709262396976,1e-04,0.865625,0.54835085272789
1,True,0.2732819870762203,1e-04,0.8665624999999999,0.5944689854979515
2,True,0.2799426261821519,1e-04,0.87625,0.624225290119648
3,True,0.3001404633340628,1e-04,0.8696875000000001,0.6119673356413842
4,True,0.29987108377010924,1e-04,0.8675,0.6820624649524689
5,True,0.29792642071843145,1e-04,0.8625,0.5946100577712059
6,True,0.2775952241990877,1e-04,0.8703125,0.603224229812622
7,False,0.2685105262891106,1e-04,0.825,0.7405355453491211
8,True,0.27678065721107564,6.9999995e-05,0.8746875000000001,0.5303858906030655
9,True,0.2604203440896843,6.9999995e-05,0.8834375,0.5752369418740273
10,True,0.2543352537828943,6.9999995e-05,0.8721874999999999,0.6437100604176521
11,True,0.25553249677886136,6.9999995e-05,0.8731249999999999,0.5552076399326324
12,True,0.26374857104990795,6.9999995e-05,0.8731249999999999,0.5889148145914078
13,True,0.27538693599078967,6.9999995e-05,0.8699999999999999,0.5018641829490662
14,True,0.24703074262841887,6.9999995e-05,0.8678125000000001,0.5692694842815399
15,True,0.24996035759863647,4.8999995e-05,0.8775000000000001,0.5640110686421395
16,True,0.24661528646298078,4.8999995e-05,0.8731249999999999,0.5565027624368668
17,True,0.24250959157943724,4.8999995e-05,0.8765625,0.5982272967696189
18,True,0.24337340722913328,4.8999995e-05,0.8768750000000001,0.6174005940556526
19,True,0.23683647759582685,4.8999995e-05,0.875625,0.6026390686631202
20,True,0.2391770856535953,3.4299996e-05,0.880625,0.6227483153343201
21,True,0.23563660130552624,3.4299996e-05,0.8821874999999999,0.551666185259819
22,True,0.23048079541843872,3.4299996e-05,0.8784375000000001,0.5604190826416016
23,True,0.22886092287042867,3.4299996e-05,0.8790625000000001,0.5808454364538193
24,True,0.22894349347638046,3.4299996e-05,0.8790624999999999,0.5777960911393165
25,True,0.2257886507264946,2.4009996e-05,0.8765625,0.5552101597189903
26,True,0.22937864278969558,2.4009996e-05,0.881875,0.5587045162916183
27,True,0.22677725313798242,2.4009996e-05,0.8787499999999999,0.5863486438989639
28,True,0.22681607765995937,2.4009996e-05,0.8796875,0.549146032333374
29,True,0.22551378954363907,2.4009996e-05,0.8740625,0.5481775298714637
