epoch,iou_metric,loss,lr,val_iou_metric,val_loss
0,0.045098363463492955,0.10275476498463575,0.001,0.0046337649660805865,0.12599087735017142
1,0.14099511659846586,0.07370617455244065,0.001,0.1872559106349945,0.0727900089820226
2,0.20868829760831945,0.06242556183653719,0.001,0.22653869032859802,0.08336055904626846
3,0.221410159675514,0.0612001010705443,0.001,0.14513372937838237,0.08779072374105454
4,0.25858451758412754,0.05398876511349397,0.001,0.2910382882754008,0.07729255268971125
5,0.2782190814859727,0.049873521492761724,0.001,0.3050125690301259,0.05210005690654119
6,0.28466856121315676,0.04739554914130884,0.001,0.3153734048207601,0.04320204089085261
7,0.3032662410736084,0.044589392029187255,0.001,0.26484962542851764,0.059423576990763345
8,0.29890939036537617,0.04563494132546818,0.001,0.33664722442626954,0.0466606417298317
9,0.3204074902534485,0.04100663413370357,0.001,0.2940972177187602,0.04712734028697014
10,0.3256911444383509,0.04096831207415637,0.001,0.34266627311706543,0.050172199010848996
11,0.34138414889223434,0.037360603355309545,0.001,0.3444361090660095,0.03967072606086731
12,0.3445809404148775,0.0372052944846013,0.001,0.36348849534988403,0.0408943384885788
13,0.34919206096144284,0.03535008965695605,0.001,0.3441861041386922,0.043242811759312945
14,0.3526423829443314,0.03457568647055065,0.001,0.30077949047088626,0.059153176347414654
15,0.3595947951709523,0.0320846308732734,0.001,0.37477380911509195,0.030161123673121133
16,0.36618786640728224,0.030733260675388223,0.001,0.2554472239812215,0.10141992956399917
17,0.3669845588207245,0.03035178733923856,0.001,0.3660407447814941,0.03748484844962756
18,0.37784965586662295,0.027813811433665892,0.001,0.3377277819315592,0.0458305491010348
19,0.3769319950692794,0.027719623940832473,0.001,0.3513107172648112,0.04115784386793772
20,0.3799135549769682,0.02542830845187692,0.001,0.3774722250302633,0.040771745493014655
21,0.4041622792832992,0.019020946720067194,0.000100000005,0.4061416681607564,0.03501070355375608
22,0.41051306898453654,0.016314245935310334,0.000100000005,0.4059861119588216,0.0359507251282533
23,0.4118702986941618,0.01581062179891502,0.000100000005,0.4034722256660461,0.03467713415622711
24,0.414016850864186,0.014765648554353153,0.000100000005,0.41140277942021686,0.03539961487054825
25,0.41449994592105643,0.014342649718417842,0.000100000005,0.401369841893514,0.03664158900578817
