epoch,iou_metric,loss,lr,val_iou_metric,val_loss
0,0.0796663305178175,0.09833968026147169,0.001,0.11229444444179534,0.1873824840784073
1,0.1958926781345816,0.06609923614999827,0.001,0.25718491911888125,0.3029743051528931
2,0.24723456161162433,0.05807973594174665,0.001,0.2587444452444712,0.23615207870801289
3,0.27852686362406787,0.05347410293186412,0.001,0.30331685026486715,0.09066938489675522
4,0.2942158913051381,0.04903835314161637,0.001,0.34052340388298036,0.10540426105260849
5,0.309471082126393,0.04517413634237121,0.001,0.282233335574468,0.06507506926854452
6,0.3171200301366694,0.04371390245591893,0.001,0.2659083346525828,0.10488014101982117
7,0.3255441139866324,0.0418811655570479,0.001,0.23025912563006082,0.08307721962531407
8,0.3353271015111138,0.03932005208380082,0.001,0.3614972237745921,0.05738094285130501
9,0.3435390039472019,0.03745248575070325,0.001,0.32667752464612326,0.08930729945500691
10,0.35486449273894816,0.03398050268432673,0.001,0.33648910323778786,0.06268376966317495
11,0.3551147048192866,0.033340791309581085,0.001,0.36496759017308555,0.05700973053773244
12,0.3646618970001445,0.03096910962725387,0.001,0.3693055558204651,0.06742713689804077
13,0.36999419882718254,0.02763379241438473,0.001,0.3766138859589895,0.07514120489358903
14,0.3753512708018808,0.026584746789406328,0.001,0.29528332948684693,0.07854381456971168
15,0.38154600653928866,0.024808124912135743,0.001,0.37104166428248087,0.07937354524930318
16,0.3868933596611023,0.022315699503702276,0.001,0.3845138955116272,0.0729377097884814
17,0.4094542412337135,0.01579849052604507,0.000100000005,0.3899138859907786,0.0709461984038353
18,0.4144971939114963,0.014369362232439658,0.000100000005,0.39866111040115354,0.07063520759344101
19,0.415233869861154,0.014091039710185107,0.000100000005,0.4005851872762044,0.07343959619601567
20,0.4168741613696603,0.013515443211969208,0.000100000005,0.39977499802907307,0.07020140677690506
21,0.41816362184636735,0.01307539363161606,0.000100000005,0.40110832889874776,0.07420183618863424
