epoch,iou_metric,loss,lr,val_iou_metric,val_loss
0,0.04947919479852477,0.10225391708752689,0.001,9.259259328246116e-05,0.22685876766840618
1,0.14653354672824634,0.07400005766574075,0.001,0.14886984060208003,0.07461258878310521
2,0.18278966640724856,0.06702924756442799,0.001,0.026685587769995134,0.16456495225429535
3,0.2291707952934153,0.06060525696067249,0.001,0.27324124455451965,0.06311788280804952
4,0.249742591696627,0.05773166906307725,0.001,0.2366990731159846,0.05570164089401563
5,0.27679147797472337,0.0549973660532166,0.001,0.2833015811443329,0.061163735141356784
6,0.28873338650254643,0.05163550060461549,0.001,0.3097013247013092,0.049909206479787825
7,0.30242436920895294,0.04742771409013692,0.001,0.28680277466773985,0.05912657350301743
8,0.3085008241148556,0.04786168494645287,0.001,0.3345349208513896,0.04781682213147481
9,0.32045327326830697,0.044555818280752967,0.001,0.3311527748902639,0.05318647387127082
10,0.3244245904333451,0.042524460536592146,0.001,0.3393472226460775,0.04090000905096531
11,0.33548415099873263,0.04037978174055324,0.001,0.3374568450450897,0.0396385245770216
12,0.340073402559056,0.03971632405238993,0.001,0.29685277700424195,0.07701394349336624
13,0.34475068008198456,0.037472882375997656,0.001,0.3553355161348979,0.03698862877984842
14,0.3522371395896463,0.03486380481544663,0.001,0.3550906733671824,0.04209532710413138
15,0.3551467727212345,0.03504999857176753,0.001,0.34923908948898313,0.03832028495768706
16,0.36261886091793283,0.03289742949254373,0.001,0.3566666714350383,0.04198853376011054
17,0.36137049569803126,0.032810348044423496,0.001,0.3487914025783539,0.03912418581545353
18,0.3680301492354449,0.03092753316549694,0.001,0.3645619034767151,0.036811855932076774
19,0.3716749704585356,0.029015193099484724,0.001,0.36205833474795024,0.03909085443864266
20,0.3729257754718556,0.028442776878090464,0.001,0.3431330068906148,0.04469809713462988
21,0.37690223497502945,0.028122071663246435,0.001,0.38858333508173626,0.037615579776465895
22,0.38297498562756704,0.026357957510387196,0.001,0.38167202591896054,0.032705872381726904
23,0.3865904713378233,0.023670917657368323,0.001,0.2795833347241084,0.09614898671706518
24,0.38879900651819566,0.02386527959476499,0.001,0.3722725784778595,0.0406739658365647
25,0.3884236023706548,0.02361680087797782,0.001,0.3630611081918081,0.044572299917538964
26,0.39724397350760066,0.020726263523101807,0.001,0.35132518847783406,0.04247012515862783
27,0.40464413250193876,0.017636482110794854,0.001,0.37315555254618327,0.03579828521857659
28,0.41445836803492375,0.01429349522380268,0.000100000005,0.40171626806259153,0.028145969305187465
29,0.42096407960442933,0.012920865188626682,0.000100000005,0.3993575398127238,0.02914937865609924
30,0.4256601741734673,0.012431926247389877,0.000100000005,0.3971916623910268,0.029565970953553913
31,0.4268220419743482,0.01197796052431359,0.000100000005,0.4006388858954112,0.030964721000442903
32,0.4275049433287452,0.012002521781798671,0.000100000005,0.39947718103726704,0.031283029820770025
33,0.4307476959509008,0.011389102615854319,0.000100000005,0.4005472191174825,0.03403500020503998
34,0.4313405858067905,0.011334550867185874,1.0000001e-05,0.4019777798652649,0.03334202055508892
35,0.430618653087055,0.011158033368342063,1.0000001e-05,0.40252685149510703,0.0335396377556026
36,0.43150790228563196,0.010994263858917882,1.0000001e-05,0.4003444504737854,0.03354705380275846
37,0.4317064873611226,0.01108753067386501,1.0000001e-05,0.39967778126398723,0.033728184544791776
38,0.43103356207118315,0.011128156001076979,1.0000001e-05,0.40196666717529295,0.03392411088570953
