epoch,loss,lr,val_loss
0,2.1818525997330163,0.001,3.964690786997477
1,1.7498199816311106,0.001,1.8446419350306194
2,1.5823234482372508,0.001,2.182057310740153
3,1.5193526462947622,0.001,1.8928085168202717
4,1.3866155107582316,0.001,1.421990663210551
5,1.2860028374195098,0.001,1.3418311516443888
6,1.2103643240648156,0.001,1.2783748594919842
7,1.1459100951166714,0.001,1.2587555233637493
8,1.0358180115854039,0.001,1.0686206531524658
9,1.0252967626908247,0.001,1.0000429836908977
10,0.949399686105111,0.001,0.9616310540835062
11,0.9372381766052807,0.001,1.0290532247225443
12,0.9359634085963754,0.001,1.4135756778717041
13,0.9017982262723586,0.001,0.9672613700230916
14,0.8589442344974069,0.001,0.9580384469032288
15,0.8457275354511598,0.001,0.9205439305305481
16,0.8637972670442918,0.001,1.289369125366211
17,0.79161852117847,0.001,1.8301789077123005
18,0.7858885598182678,0.001,1.1328044430414836
19,0.7853390389680862,0.001,1.1155172157287598
20,0.7626833545811036,0.001,0.8839760835965474
21,0.7542349466506173,0.001,0.8367635377248128
22,0.7646856738889919,0.001,0.8659660522143046
23,0.7042119200089398,0.001,1.0976603786150614
24,0.699668712440659,0.001,0.8884467323621114
25,0.6907410557129804,0.001,0.8459183319409689
26,0.6856807051336065,0.001,0.8675905005137126
27,0.5733618829180213,0.000100000005,0.7434559361139933
28,0.5305647212968153,0.000100000005,0.7502714292208353
29,0.5177108125476276,0.000100000005,0.7331022771199545
30,0.516006434489699,0.000100000005,0.7792796532313029
31,0.5010771819072611,0.000100000005,0.7616534638404846
32,0.49319779985091267,0.000100000005,0.7412546602884929
33,0.478013115577838,0.000100000005,0.7792036056518554
34,0.4738159450888634,0.000100000005,0.7500369413693746
35,0.47341803329832416,1.0000001e-05,0.7418884420394898
36,0.4596531308573835,1.0000001e-05,0.741417780717214
37,0.468328821273411,1.0000001e-05,0.7442565472920736
38,0.4578233816869119,1.0000001e-05,0.7418490997950236
39,0.4509189122389345,1.0000001e-05,0.749407312075297
