epoch,fill_requirement,loss,lr,val_best_iou,val_loss
0,False,3.952349568027226,0.001,0.5241157556270096,3.637502313043527
1,False,3.3770948181024227,0.001,0.5273311897106109,3.1947705408384564
2,True,2.960525580891167,0.001,0.8540192926045017,2.83011816858862
3,True,2.590905251704509,0.001,0.8623794212218651,2.4960842584873704
4,True,2.25211855322915,0.001,0.8633440514469454,2.188531588894761
5,True,1.9422173457021576,0.001,0.8630225080385853,1.9096342497699896
6,True,1.6700298791835197,0.001,0.8623794212218651,1.6623745842378623
7,True,1.4261030994674722,0.001,0.8627009646302252,1.4496788123796225
8,True,1.2135890046321742,0.001,0.8633440514469454,1.2695307915617031
9,True,1.0433202605937464,0.001,0.8630225080385852,1.1188269263295116
10,True,0.917406144727354,0.00070000003,0.8630225080385853,1.0285737872890337
11,True,0.8271334601689746,0.00070000003,0.8627009646302252,0.9489412229160787
12,True,0.7522022137113422,0.00070000003,0.8627009646302252,0.8782335374132997
13,True,0.6816331039881659,0.00070000003,0.8627009646302252,0.8159269123215384
14,True,0.6164341684386004,0.00070000003,0.8627009646302252,0.7608025077838223
15,True,0.5730256259257874,0.00049,0.8627009646302252,0.7256222633686863
16,True,0.5310510744943093,0.00049,0.8627009646302252,0.6931045937001513
17,True,0.5011274339253249,0.00049,0.8627009646302252,0.662624890972947
18,True,0.4754580414298533,0.00049,0.8627009646302252,0.6342525807990905
19,True,0.4478025770040577,0.00049,0.8627009646302252,0.607788886671281
20,True,0.41665192261617656,0.000343,0.8627009646302252,0.5904912336271292
21,True,0.4007465543698237,0.000343,0.8627009646302252,0.573896614205799
22,True,0.3831982277719507,0.000343,0.8627009646302252,0.5579543045671039
23,True,0.36816589289474916,0.000343,0.8627009646302252,0.5427456455981999
24,True,0.35408860464206837,0.000343,0.8627009646302252,0.5280299815334307
