epoch,loss,lr,val_loss
0,1.9829482088369481,0.001,4.021059373219808
1,1.4243490864248838,0.001,1.5528895950317383
2,1.2070149599103366,0.001,3.3925692717234295
3,1.122039400549496,0.001,1.5752028560638427
4,1.0241139178416307,0.001,1.3876596212387085
5,0.9820948609885047,0.001,4.25749929745992
6,0.96230729905998,0.001,1.7457483132680258
7,0.9145575463421205,0.001,1.3457862536112468
8,0.8803640763198628,0.001,2.316778685251872
9,0.8555729138149935,0.001,1.3106474208831786
10,0.819150441218825,0.001,1.2846658086776734
11,0.780502093259026,0.001,1.0630024973551433
12,0.7639122350426282,0.001,1.1673330211639403
13,0.7575976682059905,0.001,1.5864866511027018
14,0.75476287641946,0.001,1.1520588541030883
15,0.7164755228687735,0.001,1.532859018643697
16,0.671689933924114,0.001,1.140166179339091
17,0.5598090972970514,0.000100000005,1.1733901691436768
18,0.5300659130951938,0.000100000005,1.212201590538025
19,0.5070300048940322,0.000100000005,1.2058880535761516
20,0.4996289219225154,0.000100000005,1.2482473627726236
21,0.4854121440999648,0.000100000005,1.211494755744934
