epoch,loss,lr,val_best_iou,val_loss
0,3.145367584509008,0.001,0.40266666666666673,4.025545272827149
1,2.303992555562188,0.001,0.5261666666666667,2.6099648984273274
2,2.054732504451976,0.001,0.6811666666666667,1.8119035371144612
3,1.868655314165003,0.001,0.6223333333333334,2.2598700602849324
4,1.77448543548584,0.001,0.47300000000000003,2.3889392900466917
5,1.7078989044357749,0.001,0.5875,3.4018714459737143
6,1.6325031877966487,0.001,0.7445,1.624203945795695
7,1.5576504958377164,0.001,0.5408333333333334,2.5058692200978596
8,1.4930771984773523,0.001,0.7735000000000001,1.2806885997454325
9,1.438294893433066,0.001,0.6453333333333333,2.2552780946095785
10,1.4715820351768942,0.001,0.641,2.9938914171854654
11,1.4284949047425215,0.001,0.6885,1.8277249685923258
12,1.3734187358968397,0.001,0.6931666666666666,1.688215478261312
13,1.3584745144844055,0.001,0.6748333333333334,1.7494033145904542
14,1.2024473804586073,0.0005,0.7848333333333333,1.165798584620158
15,1.1188619406083051,0.0005,0.781,1.2102080726623534
16,1.1226676914271185,0.0005,0.7881666666666667,1.198016939163208
17,1.0982156157493592,0.0005,0.7175,1.4323054647445679
18,1.0809964359507842,0.0005,0.7653333333333334,1.1270263743400575
19,1.0454939781918244,0.0005,0.7903333333333333,1.038908371925354
20,1.0296703077765073,0.0005,0.71,1.2938375536600748
21,1.0048877920823938,0.0005,0.7638333333333334,1.4828814220428468
22,1.0278138228023754,0.0005,0.7931666666666666,1.089131510257721
23,0.9924672785927268,0.0005,0.7931666666666667,1.2872528823216756
24,0.9576080984227797,0.0005,0.7863333333333333,1.1301341915130616
25,0.9582942185682409,0.0005,0.7896666666666667,1.1296157328287761
26,0.9447518968582154,0.0005,0.7973333333333333,1.089175333182017
27,0.9142717768164242,0.0005,0.7958333333333333,1.0613976629575093
28,0.8838735083271475,0.0005,0.7906666666666666,1.1558968504269918
29,0.8971262658343596,0.0005,0.781,1.0059351817766826
30,0.899366874554578,0.0005,0.7826666666666667,1.1075957369804383
31,0.8863055219369776,0.0005,0.8065000000000001,1.1250995659828187
32,0.8642181892254773,0.0005,0.8046666666666666,0.992603460152944
