epoch,loss,lr,mean_iou,val_loss,val_mean_iou
0,1.692684108555317,1e-04,0.7958812454740206,1.160529718399048,0.791852867603302
1,1.5804981477459272,1e-04,0.7968337186177572,1.0882286953926086,0.7984623646736145
2,1.5627372695207595,1e-04,0.8006709490219752,1.1632686638832093,0.8015247654914855
3,1.4442719416419665,1e-04,0.8048163130084673,1.115859363079071,0.8067833137512207
4,1.4374803238511085,1e-04,0.807968404273192,1.1235991632938385,0.8102667117118836
5,1.388942951977253,1e-04,0.812151348789533,1.1296674942970275,0.8134464859962464
6,1.3832216761906941,1e-04,0.8143475225965182,1.1284587907791137,0.8158414292335511
7,1.2888245951334636,1e-04,0.8176792253255845,1.1427445602416992,0.8191653943061828
8,1.3418946348428726,1e-04,0.8200942092736562,1.009310495853424,0.8209479880332947
9,1.2424331204096477,1e-04,0.8222724106113116,1.097439649105072,0.8236224722862243
10,1.2928507969578107,1e-04,0.8246076602935791,1.2071809077262878,0.8251513481140137
11,1.2403800897399584,1e-04,0.8259988173047702,1.0038598382472992,0.8270350956916809
12,1.1704370505213737,1e-04,0.8282659528652827,1.0648832249641418,0.8293184328079224
13,1.1469690432151158,1e-04,0.8304298530618349,1.0785790979862213,0.8315109729766845
14,1.11574141929547,1e-04,0.8325508827368419,1.0403721296787263,0.8336422371864319
15,1.1235490174889564,1e-04,0.8346729200283687,1.0943814325332641,0.8354429960250854
16,1.118765405535698,1e-04,0.8361647509535154,1.0200860333442687,0.8370451378822327
17,1.0963134050965309,1e-04,0.837795228878657,1.0060043442249298,0.8386340928077698
18,1.0395839668512343,1e-04,0.83958543664217,1.0157155740261077,0.8404514646530151
19,1.0240605975190797,1e-04,0.8413281240860622,0.9998963928222656,0.8421747493743896
20,1.0988618901173273,1e-04,0.8426253781119982,1.0364999639987946,0.843280222415924
21,1.2231926203171413,1e-04,0.8437538730104764,1.1364075636863709,0.843536913394928
22,1.200220380326112,1e-04,0.8436476585268974,1.1523634529113769,0.8438460898399353
23,1.1253644744753837,1e-04,0.8441891888578733,1.1224352133274078,0.844578185081482
24,1.0503139893213909,1e-04,0.8451128321886062,1.0863033270835876,0.8456538248062134
25,1.0157490468223889,1e-04,0.8462639403541883,1.0550689852237702,0.8468093466758728
26,0.9945780817965666,1e-04,0.8474055137038231,1.074459549188614,0.8479868054389954
27,0.9775562629699707,1e-04,0.8485833923021953,1.002847557067871,0.8491709208488465
28,1.009035843372345,1e-04,0.849697049399217,1.0702643036842345,0.85012357711792
29,0.9666965128978093,1e-04,0.8506474402745565,1.0647755014896392,0.8512016654014587
30,0.9204223259687424,1e-05,0.8518093199133873,1.062992776632309,0.8524028897285462
31,0.9186565816601118,1e-05,0.8529673386216163,1.0443624401092528,0.8535337018966674
32,0.9118038289944331,1e-05,0.8540839575529099,1.0388887536525726,0.8546289324760437
33,0.9058543066779773,1e-05,0.8551592843135198,1.0385127198696136,0.8556880617141723
34,0.9034873403906822,1e-05,0.8561912117203077,1.0796223211288452,0.8566889381408691
35,0.9057863012750943,1e-05,0.8571675073305766,1.00500852227211,0.8576252770423889
36,0.9030802174011866,1e-05,0.8580734247763951,1.0346938109397887,0.8585222220420837
37,0.8961085216999054,1e-05,0.8589596616427103,1.0204025852680205,0.8593953561782837
38,0.891971140285333,1e-05,0.8598171766201655,1.049980230331421,0.8602358841896057
39,0.8952886072993278,1e-05,0.8606314999262492,1.0125855803489685,0.8610212159156799
40,0.8944510157704353,1e-06,0.8613976972699166,1.014412363767624,0.8617728686332703
41,0.8925924342870712,1e-06,0.8621365392009417,1.0200731360912323,0.8624981451034546
42,0.8912091565728187,1e-06,0.8628523212472597,1.0152416253089904,0.8631956243515014
43,0.8915683191219965,1e-06,0.8635322808027267,1.0145878672599793,0.8638607478141784
44,0.889258665561676,1e-06,0.8641822551488876,1.019639983177185,0.8645015478134155
45,0.8889825646678606,1e-06,0.8648082735141118,1.0185688424110413,0.8651156091690063
46,0.8890015395879746,1e-06,0.8654083666602771,1.023354686498642,0.8657038545608521
47,0.8883671443859736,1e-06,0.8659880798657735,1.0227984547615052,0.8662702059745788
48,0.8888837722738584,1e-06,0.8665451158682506,1.0224417269229888,0.8668146181106567
49,0.8877927281459173,1e-06,0.8670766178766887,1.0251631462574005,0.8673381495475769
50,0.8888162006338437,1e-06,0.867591501891613,1.0338860177993774,0.8678377342224121
51,0.8879217955470086,1e-06,0.8680805926124255,1.0328433322906494,0.8683195543289185
52,0.8878416948517164,1e-06,0.8685528565247853,1.0286633110046386,0.8687866187095642
53,0.8854440613389015,1e-06,0.8690148715178172,1.0278364443778991,0.8692409443855286
54,0.8857257159550985,1e-06,0.869461507777373,1.0314956724643707,0.8696773481369019
55,0.885943033516407,1e-06,0.8698888061245282,1.0222911131381989,0.8700991296768188
56,0.885969814558824,1e-06,0.870301283856233,1.024178683757782,0.8705052876472473
57,0.8859168136715889,1e-06,0.8707013621528943,1.0251505625247956,0.8708976531028747
58,0.8845042263468107,1e-06,0.8710871494809787,1.0212652838230134,0.8712805509567261
59,0.8854190415541331,1e-06,0.8714664732217788,1.023805103302002,0.8716486549377441
60,0.8843082177440326,1e-06,0.8718290596206983,1.022917799949646,0.8720045518875122
61,0.8852147109707197,1e-06,0.8721761621634165,1.0240466690063477,0.8723487281799316
62,0.8840973423620065,1e-06,0.8725156308809916,1.0151211047172546,0.8726842188835144
63,0.8843612158695857,1e-06,0.8728471385637919,1.0160277223587035,0.8730089259147644
64,0.8851812765995661,1e-06,0.8731672530372937,1.021590871810913,0.8733236479759217
65,0.8847009228865306,1e-06,0.8734728250900904,1.020121500492096,0.8736287760734558
66,0.8851943392554918,1e-06,0.8737768562833468,1.013656804561615,0.8739240908622742
67,0.8838392937382062,1e-06,0.8740713413755099,1.0122547435760498,0.8742142963409424
68,0.882970379670461,1e-06,0.8743561726212502,1.016741268634796,0.8744978857040405
69,0.8848680612444878,1e-06,0.8746350998481115,1.0161724090576172,0.8747701358795166
70,0.8830741574168205,1e-06,0.8749027912219366,1.0183210849761963,0.875036644935608
71,0.8831611198186874,1e-06,0.8751682994564375,1.0156759119033814,0.875293915271759
72,0.8851783677935601,1e-06,0.8754184091687203,1.0193834590911866,0.8755435109138489
73,0.8832769204775492,1e-06,0.8756658019622167,1.0169456887245178,0.8757879257202148
74,0.8820471310218175,1e-06,0.8759091065724691,1.0225383174419402,0.8760278916358948
75,0.88246023807923,1e-06,0.8761451750000318,1.0133600902557374,0.8762616610527039
76,0.8817892978191376,1e-06,0.8763769685029984,1.0096924245357513,0.8764903903007507
